"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"164"	"Parameters conspec-attraction 1144 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	15.3557054905371
"165"	"Parameters conspec-attraction 1145 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	12.438027009582
"166"	"Parameters conspec-attraction 1146 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	7.74801764413121
"167"	"Parameters conspec-attraction 1147 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	11.3954911561815
"168"	"Parameters conspec-attraction 1148 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	4.86589326878677
"169"	"Parameters conspec-attraction 1149 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	12.2816027291754
"170"	"Parameters conspec-attraction 115 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	9.88650365075402
"171"	"Parameters conspec-attraction 1150 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	15.1404899534354
"172"	"Parameters conspec-attraction 1151 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	10.9282418039809
"173"	"Parameters conspec-attraction 1152 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	9.63224169721336
"174"	"Parameters conspec-attraction 1153 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	8.03973827760583
"175"	"Parameters conspec-attraction 1154 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	8.40763964559202
"176"	"Parameters conspec-attraction 1155 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	14.4232984227401
"177"	"Parameters conspec-attraction 1156 10_06_2020 21_17.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	10.5638803627325
"178"	"Parameters conspec-attraction 1157 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	11.2033651061906
"179"	"Parameters conspec-attraction 1158 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	5.68635468480464
"180"	"Parameters conspec-attraction 1159 10_06_2020 21_18.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	6.56459114775207
"181"	"Parameters conspec-attraction 116 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.36830544416147
"182"	"Parameters conspec-attraction 1160 10_06_2020 21_18.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	9.38254187146377
"183"	"Parameters conspec-attraction 1161 10_06_2020 21_18.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	11.7901584227455
"184"	"Parameters conspec-attraction 1162 10_06_2020 21_18.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	9.37642214212876
"185"	"Parameters conspec-attraction 1163 10_06_2020 21_18.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	12.3335805758439
"186"	"Parameters conspec-attraction 1164 10_06_2020 21_18.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	9.40891956495538
"187"	"Parameters conspec-attraction 1165 10_06_2020 21_18.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	12.0851413013969
