"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"186"	"Parameters CF 1164 21_04_2020 22_02.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.693616713752527	3.78533911794965
"187"	"Parameters CF 1165 21_04_2020 22_02.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.537264397307808	10.4707079234578
"188"	"Parameters CF 1166 21_04_2020 22_03.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.500630850470629	9.85131821454513
"189"	"Parameters CF 1167 21_04_2020 22_03.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.563533196449303	9.87604296347262
"190"	"Parameters CF 1168 21_04_2020 22_03.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.491117202725892	10.7888331883628
"191"	"Parameters CF 1169 21_04_2020 22_03.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.685475581936341	7.18914203936783
"192"	"Parameters CF 117 21_04_2020 21_54.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.597438349518432	10.1836295034907
"193"	"Parameters CF 1170 21_04_2020 22_04.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.623065652876789	8.91779582302136
"194"	"Parameters CF 1171 21_04_2020 22_04.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.712384564914042	7.76534855731312
"195"	"Parameters CF 1172 21_04_2020 22_04.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.68384397438293	9.87600121905293
"196"	"Parameters CF 1173 21_04_2020 22_05.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.424059741567154	11.2035633461021
